web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data,title,data3,rating2,data4,data5,title2
1756053991-557,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,1% off,₹470,192 Reviews,Free Delivery,₹463,Unique Men Dhotis Mundus & Lungis
1756053991-558,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,5% off,₹310,6459 Reviews,Free Delivery,₹296,Ravishing Latest Men Track Pants
1756053991-559,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,21667 Reviews,Free Delivery,₹186,Stylish Gym Vests
1756053991-560,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,,,,Free Delivery,₹360,Fancy Sensational Men Raincoats
1756053991-561,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.8,14% off,₹200,1424 Reviews,Free Delivery,₹171,Urbane Sensational Men Tshirts
1756053991-562,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,86 Reviews,Free Delivery,₹271,Men Polycotton Regular Tshirts
1756053991-563,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,10% off,₹377,440 Reviews,Free Delivery,₹340,Trendy Kurta Sets
1756053991-564,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,12% off,₹324,6899 Reviews,Free Delivery,₹286,Smarty Men Vest
1756053991-565,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.6,6% off,₹200,16 Reviews,Free Delivery,₹188,Trendy Gym Vests
1756053991-566,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,4,14% off,₹366,2894 Reviews,Free Delivery,₹316,CHHOTE NAWAB Men's Innerwear Vests
1756053991-567,https://www.meesho.com/?srsltid=AfmBOopvdxklXOkgBZXXpKvKzQHiKKadK1aIRfsf0w5rQhm4KZON_LX1&source=profile&entry=header&screen=HP,Menswear,https://www.meesho.com/menswear/clp/40NO,3.9,,,7 Reviews,Free Delivery,₹233,Fancy Retro Men Shirts
